Round,Winner
0,Standardbot
1,Standardbot
2,Standardbot
3,Standardbot
4,Standardbot
5,Standardbot
6,Standardbot
7,Standardbot
8,Standardbot
9,Standardbot
10,Standardbot
11,Standardbot
12,Standardbot
13,Standardbot
14,Standardbot
15,Standardbot
16,Standardbot
17,Standardbot
18,Standardbot
19,Standardbot
20,Standardbot
21,Standardbot
22,Standardbot
23,Standardbot
24,Standardbot
25,Standardbot
26,Standardbot
27,Standardbot
28,Standardbot
29,Standardbot
30,Standardbot
31,Standardbot
32,Standardbot
33,Standardbot
34,Standardbot
35,Standardbot
36,Standardbot
37,Standardbot
38,Standardbot
39,Standardbot
40,Standardbot
41,Standardbot
42,Standardbot
43,Standardbot
44,Standardbot
45,Standardbot
46,Standardbot
47,Standardbot
48,Standardbot
49,Standardbot
50,Standardbot
51,Standardbot
52,Standardbot
53,Standardbot
54,Standardbot
55,Standardbot
56,Standardbot
57,Standardbot
58,Standardbot
59,Standardbot
60,Standardbot
61,Standardbot
62,Standardbot
63,Standardbot
64,Standardbot
65,Standardbot
66,Standardbot
67,Standardbot
68,Standardbot
69,Standardbot
70,Standardbot
71,Standardbot
72,Standardbot
73,Standardbot
74,Standardbot
75,Standardbot
76,Standardbot
77,Standardbot
78,Standardbot
79,Standardbot
80,Standardbot
81,Standardbot
82,Standardbot
83,Standardbot
84,Standardbot
85,Standardbot
86,Standardbot
87,Standardbot
88,Standardbot
89,Standardbot
90,Standardbot
91,Standardbot
92,Standardbot
93,Standardbot
94,Standardbot
95,Standardbot
96,Standardbot
97,Standardbot
98,Standardbot
99,Standardbot
100,Standardbot
101,Standardbot
102,Standardbot
103,Standardbot
104,Standardbot
105,Standardbot
106,Standardbot
107,Standardbot
108,Standardbot
109,Standardbot
110,Standardbot
111,Standardbot
112,Standardbot
113,Standardbot
114,Standardbot
115,Standardbot
116,Standardbot
117,Standardbot
118,Standardbot
119,Standardbot
120,Standardbot
121,Standardbot
122,Standardbot
123,Standardbot
124,Standardbot
125,Standardbot
126,Standardbot
127,Standardbot
128,Standardbot
129,Standardbot
130,Standardbot
131,Standardbot
132,Standardbot
133,Standardbot
134,Standardbot
135,Standardbot
136,Standardbot
137,Standardbot
138,Standardbot
139,Standardbot
140,Standardbot
141,Standardbot
142,Standardbot
143,Standardbot
144,Standardbot
145,Standardbot
146,Standardbot
147,Standardbot
148,Standardbot
149,Standardbot
150,Standardbot
151,Standardbot
152,Standardbot
153,Standardbot
154,Standardbot
155,Standardbot
156,Standardbot
157,Standardbot
158,Standardbot
159,Standardbot
160,Standardbot
161,Standardbot
162,Standardbot
163,Standardbot
164,Standardbot
165,Standardbot
166,Standardbot
167,Standardbot
168,Standardbot
169,Standardbot
170,Standardbot
171,Standardbot
172,Standardbot
173,Standardbot
174,Standardbot
175,Standardbot
176,Standardbot
177,Standardbot
178,Standardbot
179,Standardbot
180,Standardbot
181,Standardbot
182,Standardbot
183,Standardbot
184,Standardbot
185,Standardbot
186,Standardbot
187,Standardbot
188,Standardbot
189,Standardbot
190,Standardbot
191,Standardbot
192,Standardbot
193,Standardbot
194,Standardbot
195,Standardbot
196,Standardbot
197,Standardbot
198,Standardbot
199,Standardbot
200,Standardbot
201,Standardbot
202,Standardbot
203,Standardbot
204,Standardbot
205,Standardbot
206,Standardbot
207,Standardbot
208,Standardbot
209,Standardbot
210,Standardbot
211,Standardbot
212,Standardbot
213,Standardbot
214,Standardbot
215,Standardbot
