Round,Winner
0,RLbot
1,RLbot
2,RLbot
3,RLbot
4,RLbot
5,RLbot
6,RLbot
7,RLbot
8,RLbot
9,RLbot
10,RLbot
11,RLbot
12,RLbot
13,RLbot
14,RLbot
15,RLbot
16,RLbot
17,RLbot
18,RLbot
19,RLbot
20,RLbot
21,RLbot
22,RLbot
23,RLbot
24,RLbot
25,RLbot
26,RLbot
27,RLbot
28,RLbot
29,RLbot
30,RLbot
31,RLbot
32,RLbot
33,RLbot
34,RLbot
35,RLbot
36,RLbot
37,RLbot
38,RLbot
39,RLbot
40,RLbot
41,RLbot
42,RLbot
43,RLbot
44,RLbot
45,RLbot
46,RLbot
47,RLbot
48,RLbot
49,RLbot
50,RLbot
51,RLbot
52,RLbot
53,RLbot
54,RLbot
55,RLbot
56,RLbot
57,RLbot
58,RLbot
59,RLbot
60,RLbot
61,RLbot
62,RLbot
63,RLbot
64,RLbot
65,RLbot
66,RLbot
67,RLbot
68,RLbot
69,RLbot
70,RLbot
71,RLbot
72,RLbot
73,RLbot
74,RLbot
75,RLbot
76,RLbot
77,RLbot
78,RLbot
79,RLbot
80,RLbot
81,RLbot
82,RLbot
83,RLbot
84,RLbot
85,RLbot
86,RLbot
87,RLbot
88,RLbot
89,RLbot
90,RLbot
91,RLbot
92,RLbot
93,RLbot
94,RLbot
95,RLbot
96,RLbot
97,RLbot
98,RLbot
99,RLbot
100,RLbot
101,RLbot
102,RLbot
103,RLbot
104,RLbot
105,RLbot
106,RLbot
107,RLbot
108,RLbot
109,RLbot
110,RLbot
111,RLbot
112,RLbot
113,RLbot
114,RLbot
115,RLbot
116,RLbot
117,RLbot
118,RLbot
119,RLbot
120,RLbot
121,RLbot
122,RLbot
123,RLbot
124,RLbot
125,RLbot
126,RLbot
127,RLbot
128,RLbot
129,RLbot
130,RLbot
131,RLbot
132,RLbot
133,RLbot
134,RLbot
135,RLbot
136,RLbot
137,RLbot
138,RLbot
139,RLbot
140,RLbot
141,RLbot
142,RLbot
143,RLbot
144,RLbot
145,RLbot
146,RLbot
147,RLbot
148,RLbot
149,RLbot
150,RLbot
151,RLbot
152,RLbot
153,RLbot
154,RLbot
155,RLbot
156,RLbot
157,RLbot
158,RLbot
159,RLbot
160,RLbot
161,RLbot
162,RLbot
163,RLbot
164,RLbot
165,RLbot
166,RLbot
167,RLbot
168,RLbot
169,RLbot
170,RLbot
171,RLbot
172,RLbot
173,RLbot
174,RLbot
175,RLbot
176,RLbot
177,RLbot
178,RLbot
179,RLbot
180,RLbot
181,RLbot
182,RLbot
183,RLbot
184,RLbot
185,RLbot
186,RLbot
187,RLbot
188,RLbot
189,RLbot
190,RLbot
191,RLbot
192,RLbot
193,RLbot
194,RLbot
195,RLbot
196,RLbot
197,RLbot
198,RLbot
199,RLbot
200,RLbot
201,RLbot
202,RLbot
203,RLbot
204,RLbot
205,RLbot
206,RLbot
207,RLbot
208,RLbot
209,RLbot
210,RLbot
211,RLbot
212,RLbot
213,RLbot
214,RLbot
215,RLbot
216,RLbot
217,RLbot
218,RLbot
219,RLbot
220,RLbot
221,RLbot
222,RLbot
223,RLbot
224,RLbot
225,RLbot
226,RLbot
227,RLbot
228,RLbot
229,RLbot
230,RLbot
231,RLbot
232,RLbot
233,RLbot
234,RLbot
235,RLbot
236,RLbot
237,RLbot
238,RLbot
239,RLbot
240,RLbot
241,RLbot
242,RLbot
243,RLbot
244,RLbot
245,RLbot
246,RLbot
247,RLbot
248,RLbot
249,RLbot
250,RLbot
251,RLbot
252,RLbot
253,RLbot
254,RLbot
255,RLbot
256,RLbot
257,RLbot
258,RLbot
259,RLbot
260,RLbot
261,RLbot
262,RLbot
263,RLbot
264,RLbot
265,RLbot
266,RLbot
267,RLbot
268,RLbot
269,RLbot
270,RLbot
271,RLbot
272,RLbot
273,RLbot
274,RLbot
275,RLbot
276,RLbot
277,RLbot
278,RLbot
279,RLbot
280,RLbot
281,RLbot
282,RLbot
283,RLbot
284,RLbot
285,RLbot
286,RLbot
287,RLbot
288,RLbot
289,RLbot
290,RLbot
291,RLbot
292,RLbot
293,RLbot
294,RLbot
295,RLbot
296,RLbot
297,RLbot
298,RLbot
299,RLbot
300,RLbot
301,RLbot
302,RLbot
303,RLbot
304,RLbot
305,RLbot
306,RLbot
307,RLbot
308,RLbot
309,RLbot
310,RLbot
311,RLbot
312,RLbot
313,RLbot
314,RLbot
315,RLbot
316,RLbot
317,RLbot
318,RLbot
319,RLbot
320,RLbot
321,RLbot
322,RLbot
323,RLbot
324,RLbot
325,RLbot
326,RLbot
327,RLbot
328,RLbot
329,RLbot
330,RLbot
331,RLbot
332,RLbot
333,RLbot
334,RLbot
335,RLbot
336,RLbot
337,RLbot
338,RLbot
339,RLbot
340,RLbot
341,RLbot
342,RLbot
343,RLbot
344,RLbot
345,RLbot
346,RLbot
347,RLbot
348,RLbot
349,RLbot
350,RLbot
351,RLbot
352,RLbot
353,RLbot
354,RLbot
355,RLbot
356,RLbot
357,RLbot
358,RLbot
359,RLbot
360,RLbot
361,RLbot
362,RLbot
363,RLbot
364,RLbot
365,RLbot
366,RLbot
367,RLbot
368,RLbot
369,RLbot
370,RLbot
371,RLbot
372,RLbot
373,RLbot
374,RLbot
375,RLbot
376,RLbot
377,RLbot
378,RLbot
379,RLbot
380,RLbot
381,RLbot
382,RLbot
383,RLbot
384,RLbot
385,RLbot
386,RLbot
387,RLbot
388,RLbot
389,RLbot
390,RLbot
391,RLbot
392,RLbot
393,RLbot
394,RLbot
395,RLbot
396,RLbot
397,RLbot
398,RLbot
399,RLbot
400,RLbot
401,RLbot
402,RLbot
403,RLbot
404,RLbot
405,RLbot
406,RLbot
407,RLbot
408,RLbot
409,RLbot
410,RLbot
411,RLbot
412,RLbot
413,RLbot
414,RLbot
415,RLbot
416,RLbot
417,RLbot
418,RLbot
419,RLbot
420,RLbot
