Round,Winner
0,RLbot
1,RLbot
2,Standardbot
3,RLbot
4,Standardbot
5,RLbot
6,Standardbot
7,RLbot
8,Standardbot
9,Standardbot
10,Standardbot
11,Standardbot
12,RLbot
13,RLbot
14,RLbot
15,RLbot
16,Standardbot
17,Standardbot
18,RLbot
19,RLbot
20,Standardbot
21,Standardbot
22,Standardbot
23,Standardbot
24,Standardbot
25,RLbot
26,RLbot
27,Standardbot
28,Standardbot
29,RLbot
30,Standardbot
31,RLbot
32,Standardbot
33,RLbot
34,RLbot
35,RLbot
36,Standardbot
37,Standardbot
38,RLbot
39,Standardbot
40,RLbot
41,RLbot
42,RLbot
43,Standardbot
44,Standardbot
45,Standardbot
46,RLbot
47,Standardbot
48,Standardbot
49,RLbot
50,RLbot
51,Standardbot
52,RLbot
53,Standardbot
54,Standardbot
55,Standardbot
56,RLbot
57,Standardbot
58,Standardbot
59,RLbot
60,Standardbot
61,RLbot
62,Standardbot
63,Standardbot
64,Standardbot
65,RLbot
66,Standardbot
67,Standardbot
68,Standardbot
69,Standardbot
70,Standardbot
71,RLbot
72,Standardbot
73,Standardbot
74,Standardbot
75,Standardbot
76,RLbot
77,RLbot
78,Standardbot
79,Standardbot
80,Standardbot
81,Standardbot
82,RLbot
83,RLbot
84,RLbot
85,Standardbot
86,RLbot
87,Standardbot
88,Standardbot
89,RLbot
90,Standardbot
91,RLbot
92,RLbot
93,RLbot
94,RLbot
95,Standardbot
96,RLbot
97,RLbot
98,Standardbot
99,Standardbot
100,RLbot
101,Standardbot
102,Standardbot
103,Standardbot
104,Standardbot
105,Standardbot
106,RLbot
107,RLbot
108,RLbot
109,Standardbot
110,Standardbot
111,RLbot
112,RLbot
113,RLbot
114,Standardbot
115,Standardbot
116,Standardbot
117,RLbot
118,RLbot
119,Standardbot
120,Standardbot
121,Standardbot
122,RLbot
123,RLbot
124,RLbot
125,RLbot
126,Standardbot
127,Standardbot
128,Standardbot
129,Standardbot
130,RLbot
131,Standardbot
132,Standardbot
133,RLbot
134,RLbot
135,Standardbot
136,RLbot
137,Standardbot
138,RLbot
139,Standardbot
140,RLbot
141,RLbot
142,Standardbot
143,RLbot
144,Standardbot
145,RLbot
146,RLbot
147,RLbot
148,Standardbot
149,Standardbot
150,Standardbot
151,Standardbot
152,Standardbot
153,Standardbot
154,RLbot
155,Standardbot
156,RLbot
157,RLbot
158,RLbot
159,Standardbot
160,RLbot
161,Standardbot
162,Standardbot
163,RLbot
164,Standardbot
165,Standardbot
166,Standardbot
167,Standardbot
168,RLbot
169,RLbot
170,RLbot
171,Standardbot
172,Standardbot
173,Standardbot
174,RLbot
175,Standardbot
176,RLbot
177,RLbot
178,Standardbot
179,RLbot
180,RLbot
181,Standardbot
182,RLbot
183,RLbot
184,RLbot
185,RLbot
186,RLbot
187,Standardbot
188,Standardbot
189,Standardbot
190,Standardbot
191,Standardbot
192,Standardbot
193,Standardbot
194,RLbot
195,Standardbot
196,Standardbot
197,Standardbot
198,Standardbot
199,Standardbot
200,Standardbot
201,RLbot
202,Standardbot
203,RLbot
204,Standardbot
205,RLbot
206,Standardbot
207,RLbot
208,Standardbot
209,RLbot
210,Standardbot
211,RLbot
212,Standardbot
213,Standardbot
214,RLbot
215,RLbot
216,Standardbot
217,RLbot
218,Standardbot
219,Standardbot
220,Standardbot
221,Standardbot
222,Standardbot
223,RLbot
224,Standardbot
225,RLbot
226,Standardbot
227,Standardbot
228,Standardbot
229,Standardbot
230,Standardbot
231,Standardbot
232,Standardbot
233,RLbot
234,Standardbot
235,Standardbot
236,Standardbot
237,RLbot
238,Standardbot
239,Standardbot
240,Standardbot
241,Standardbot
242,RLbot
243,RLbot
244,RLbot
245,Standardbot
246,Standardbot
247,Standardbot
248,RLbot
249,RLbot
250,Standardbot
251,RLbot
252,Standardbot
253,Standardbot
254,RLbot
255,RLbot
256,Standardbot
257,RLbot
258,RLbot
259,RLbot
260,Standardbot
261,Standardbot
262,Standardbot
263,Standardbot
264,Standardbot
265,Standardbot
266,Standardbot
267,Standardbot
268,Standardbot
269,RLbot
270,Standardbot
271,Standardbot
272,Standardbot
273,Standardbot
274,Standardbot
275,RLbot
276,Standardbot
277,Standardbot
278,Standardbot
279,Standardbot
280,Standardbot
281,RLbot
282,Standardbot
283,Standardbot
284,Standardbot
285,Standardbot
286,RLbot
287,Standardbot
288,RLbot
289,Standardbot
290,Standardbot
291,Standardbot
292,Standardbot
293,RLbot
294,Standardbot
295,Standardbot
296,Standardbot
297,RLbot
298,Standardbot
299,Standardbot
300,Standardbot
301,RLbot
302,RLbot
303,Standardbot
304,Standardbot
305,RLbot
306,Standardbot
307,Standardbot
308,Standardbot
309,Standardbot
310,Standardbot
311,Standardbot
312,Standardbot
313,RLbot
314,Standardbot
315,RLbot
316,Standardbot
317,Standardbot
318,RLbot
319,Standardbot
320,RLbot
321,RLbot
322,RLbot
323,Standardbot
324,Standardbot
325,Standardbot
326,RLbot
327,RLbot
328,Standardbot
329,Standardbot
330,Standardbot
331,RLbot
332,Standardbot
333,Standardbot
334,RLbot
335,Standardbot
336,RLbot
337,Standardbot
338,Standardbot
339,RLbot
340,Standardbot
341,RLbot
342,Standardbot
343,RLbot
344,Standardbot
345,RLbot
346,RLbot
347,RLbot
348,Standardbot
349,RLbot
350,RLbot
351,Standardbot
352,Standardbot
353,Standardbot
354,Standardbot
355,Standardbot
356,RLbot
357,Standardbot
358,RLbot
359,Standardbot
360,Standardbot
361,Standardbot
362,Standardbot
363,Standardbot
364,Standardbot
365,Standardbot
366,Standardbot
367,Standardbot
368,Standardbot
369,Standardbot
370,RLbot
371,RLbot
372,Standardbot
373,Standardbot
374,RLbot
375,Standardbot
376,RLbot
377,Standardbot
378,RLbot
379,Standardbot
380,Standardbot
381,Standardbot
382,Standardbot
383,Standardbot
384,RLbot
385,RLbot
386,Standardbot
