Round,Winner
0,RLbot
1,Standardbot
2,RLbot
3,Standardbot
4,Standardbot
5,Standardbot
6,Standardbot
7,Standardbot
8,Standardbot
9,RLbot
10,RLbot
11,RLbot
12,Standardbot
13,RLbot
14,Standardbot
15,RLbot
16,RLbot
17,RLbot
18,RLbot
19,Standardbot
20,RLbot
21,RLbot
22,RLbot
23,Standardbot
24,Standardbot
25,Standardbot
26,RLbot
27,RLbot
28,RLbot
29,RLbot
30,RLbot
31,Standardbot
32,RLbot
33,RLbot
34,Standardbot
35,RLbot
36,RLbot
37,RLbot
38,RLbot
39,Standardbot
40,Standardbot
41,RLbot
42,RLbot
43,RLbot
44,Standardbot
45,Standardbot
46,Standardbot
47,Standardbot
48,RLbot
49,Standardbot
50,RLbot
51,Standardbot
52,RLbot
53,Standardbot
54,Standardbot
55,RLbot
56,RLbot
57,RLbot
58,RLbot
59,Standardbot
60,Standardbot
61,Standardbot
62,RLbot
63,Standardbot
64,Standardbot
65,RLbot
66,Standardbot
67,RLbot
68,Standardbot
69,Standardbot
70,RLbot
71,RLbot
72,Standardbot
73,RLbot
74,Standardbot
75,Standardbot
76,Standardbot
77,Standardbot
78,Standardbot
79,RLbot
80,Standardbot
81,Standardbot
82,RLbot
83,RLbot
84,Standardbot
85,RLbot
86,Standardbot
87,Standardbot
88,Standardbot
89,Standardbot
90,RLbot
91,RLbot
92,RLbot
93,RLbot
94,Standardbot
95,Standardbot
96,Standardbot
97,Standardbot
98,Standardbot
99,RLbot
100,RLbot
101,Standardbot
102,Standardbot
103,Standardbot
104,RLbot
105,RLbot
106,RLbot
107,RLbot
108,Standardbot
109,Standardbot
110,RLbot
111,RLbot
112,RLbot
113,RLbot
114,Standardbot
115,RLbot
116,Standardbot
117,Standardbot
118,Standardbot
119,Standardbot
120,Standardbot
121,RLbot
122,Standardbot
123,RLbot
124,Standardbot
125,RLbot
126,Standardbot
127,Standardbot
128,Standardbot
129,RLbot
130,Standardbot
131,RLbot
132,Standardbot
133,RLbot
134,Standardbot
135,Standardbot
