Round,Winner
0,Standardbot
1,RLbot
2,Standardbot
3,Standardbot
4,Standardbot
5,RLbot
6,Standardbot
7,Standardbot
8,Standardbot
9,RLbot
10,RLbot
11,Standardbot
12,RLbot
13,Standardbot
14,RLbot
15,RLbot
16,Standardbot
17,RLbot
18,Standardbot
19,RLbot
20,RLbot
21,Standardbot
22,Standardbot
23,RLbot
24,RLbot
25,RLbot
26,RLbot
27,Standardbot
28,RLbot
29,RLbot
30,Standardbot
31,RLbot
32,RLbot
33,RLbot
34,Standardbot
35,RLbot
36,Standardbot
37,Standardbot
38,RLbot
39,RLbot
40,RLbot
41,Standardbot
42,RLbot
43,RLbot
44,Standardbot
45,Standardbot
46,RLbot
47,Standardbot
48,Standardbot
49,Standardbot
50,Standardbot
51,Standardbot
52,Standardbot
53,RLbot
54,RLbot
55,Standardbot
56,RLbot
57,RLbot
58,RLbot
59,Standardbot
60,Standardbot
61,RLbot
62,Standardbot
63,Standardbot
64,RLbot
65,RLbot
66,RLbot
67,RLbot
68,RLbot
69,RLbot
70,Standardbot
71,RLbot
72,Standardbot
73,Standardbot
74,RLbot
75,Standardbot
76,RLbot
77,Standardbot
78,RLbot
79,RLbot
80,RLbot
81,Standardbot
82,RLbot
83,Standardbot
84,Standardbot
85,RLbot
86,Standardbot
87,RLbot
88,Standardbot
89,RLbot
90,RLbot
91,Standardbot
92,Standardbot
93,RLbot
94,Standardbot
95,RLbot
96,RLbot
97,Standardbot
98,Standardbot
99,Standardbot
100,Standardbot
101,Standardbot
102,RLbot
103,RLbot
104,Standardbot
105,Standardbot
106,Standardbot
107,Standardbot
108,RLbot
109,Standardbot
110,RLbot
111,Standardbot
112,Standardbot
113,Standardbot
114,RLbot
115,Standardbot
116,Standardbot
117,RLbot
118,Standardbot
119,RLbot
120,RLbot
121,Standardbot
122,RLbot
123,Standardbot
124,RLbot
125,Standardbot
126,RLbot
127,RLbot
128,RLbot
129,Standardbot
130,Standardbot
131,Standardbot
132,Standardbot
133,RLbot
134,Standardbot
135,Standardbot
136,Standardbot
137,Standardbot
138,RLbot
139,Standardbot
140,Standardbot
141,Standardbot
142,RLbot
143,RLbot
144,Standardbot
145,Standardbot
146,Standardbot
147,RLbot
148,Standardbot
149,RLbot
150,RLbot
151,Standardbot
152,Standardbot
153,RLbot
154,RLbot
155,Standardbot
156,Standardbot
157,RLbot
158,RLbot
159,Standardbot
160,RLbot
161,Standardbot
162,Standardbot
163,RLbot
164,Standardbot
165,Standardbot
166,Standardbot
167,Standardbot
168,Standardbot
169,Standardbot
170,RLbot
171,Standardbot
172,RLbot
173,RLbot
174,Standardbot
175,Standardbot
176,Standardbot
177,RLbot
178,Standardbot
179,Standardbot
180,Standardbot
181,Standardbot
182,Standardbot
183,Standardbot
184,Standardbot
185,Standardbot
