Round,Winner
0,RLbot
1,RLbot
2,Standardbot
3,RLbot
4,RLbot
5,RLbot
6,RLbot
7,RLbot
8,RLbot
9,RLbot
10,RLbot
11,RLbot
12,RLbot
13,RLbot
14,RLbot
15,RLbot
16,RLbot
17,RLbot
18,RLbot
19,RLbot
20,RLbot
21,RLbot
22,RLbot
23,RLbot
24,RLbot
25,RLbot
26,RLbot
27,RLbot
28,RLbot
29,RLbot
30,RLbot
31,RLbot
32,RLbot
33,RLbot
34,RLbot
35,RLbot
36,RLbot
37,RLbot
38,RLbot
39,RLbot
40,RLbot
41,RLbot
42,RLbot
43,RLbot
44,RLbot
45,Standardbot
46,RLbot
47,RLbot
48,RLbot
49,RLbot
50,RLbot
51,RLbot
52,Standardbot
53,RLbot
54,RLbot
55,RLbot
56,RLbot
57,RLbot
58,RLbot
59,RLbot
60,Standardbot
61,RLbot
62,RLbot
63,RLbot
64,RLbot
65,RLbot
66,RLbot
67,RLbot
68,RLbot
69,RLbot
70,RLbot
71,RLbot
72,Standardbot
73,RLbot
74,RLbot
75,RLbot
76,RLbot
77,RLbot
78,RLbot
79,RLbot
80,RLbot
81,RLbot
82,RLbot
83,RLbot
84,RLbot
85,RLbot
86,RLbot
87,RLbot
88,RLbot
89,RLbot
90,RLbot
91,RLbot
92,Standardbot
93,RLbot
94,RLbot
95,RLbot
96,RLbot
97,RLbot
98,Standardbot
99,Standardbot
100,RLbot
101,Standardbot
102,RLbot
103,RLbot
104,Standardbot
105,RLbot
106,Standardbot
107,RLbot
108,Standardbot
109,RLbot
110,Standardbot
111,Standardbot
112,Standardbot
113,Standardbot
114,Standardbot
115,Standardbot
116,RLbot
117,RLbot
118,RLbot
119,RLbot
120,RLbot
121,Standardbot
122,RLbot
123,RLbot
124,RLbot
125,Standardbot
126,Standardbot
127,Standardbot
128,Standardbot
129,RLbot
130,Standardbot
131,RLbot
132,Standardbot
133,Standardbot
134,Standardbot
135,RLbot
136,RLbot
137,Standardbot
138,Standardbot
139,RLbot
140,Standardbot
141,RLbot
142,Standardbot
143,RLbot
144,Standardbot
145,Standardbot
146,RLbot
147,Standardbot
148,Standardbot
149,Standardbot
150,Standardbot
151,RLbot
152,RLbot
153,Standardbot
154,Standardbot
155,RLbot
156,Standardbot
157,Standardbot
158,Standardbot
159,Standardbot
160,Standardbot
161,RLbot
162,Standardbot
163,Standardbot
164,RLbot
165,Standardbot
166,RLbot
167,Standardbot
168,Standardbot
169,RLbot
170,RLbot
171,Standardbot
172,RLbot
173,RLbot
174,Standardbot
175,RLbot
176,Standardbot
177,Standardbot
178,Standardbot
179,RLbot
180,RLbot
181,RLbot
182,RLbot
183,RLbot
184,RLbot
185,RLbot
186,RLbot
187,Standardbot
188,RLbot
189,RLbot
190,Standardbot
191,Standardbot
192,RLbot
193,RLbot
194,Standardbot
195,Standardbot
196,RLbot
197,RLbot
198,Standardbot
199,RLbot
200,Standardbot
201,Standardbot
202,Standardbot
203,RLbot
204,Standardbot
205,Standardbot
206,RLbot
207,RLbot
208,Standardbot
209,Standardbot
210,Standardbot
211,Standardbot
212,Standardbot
213,RLbot
214,Standardbot
215,RLbot
216,Standardbot
217,RLbot
218,Standardbot
219,RLbot
220,Standardbot
221,Standardbot
222,Standardbot
223,RLbot
224,RLbot
225,Standardbot
226,Standardbot
227,Standardbot
228,RLbot
229,RLbot
230,Standardbot
231,Standardbot
232,Standardbot
233,Standardbot
234,Standardbot
235,Standardbot
236,Standardbot
237,Standardbot
238,Standardbot
239,RLbot
240,RLbot
241,Standardbot
242,Standardbot
243,Standardbot
244,Standardbot
245,Standardbot
246,Standardbot
247,RLbot
248,RLbot
249,Standardbot
250,RLbot
251,RLbot
252,RLbot
253,Standardbot
254,Standardbot
255,Standardbot
256,RLbot
257,RLbot
258,RLbot
259,Standardbot
260,RLbot
261,Standardbot
262,Standardbot
263,RLbot
264,Standardbot
265,Standardbot
266,Standardbot
267,Standardbot
268,RLbot
269,RLbot
270,RLbot
271,Standardbot
272,Standardbot
273,Standardbot
274,Standardbot
275,Standardbot
276,Standardbot
277,Standardbot
278,Standardbot
279,RLbot
280,Standardbot
281,RLbot
282,RLbot
283,RLbot
284,RLbot
285,RLbot
286,Standardbot
287,Standardbot
288,Standardbot
289,Standardbot
290,RLbot
291,RLbot
292,RLbot
293,Standardbot
294,Standardbot
295,RLbot
296,RLbot
297,RLbot
298,Standardbot
299,Standardbot
300,RLbot
301,Standardbot
302,RLbot
303,Standardbot
304,Standardbot
305,Standardbot
306,RLbot
307,RLbot
308,RLbot
309,RLbot
310,Standardbot
311,Standardbot
312,RLbot
313,Standardbot
314,Standardbot
315,Standardbot
316,Standardbot
317,Standardbot
318,RLbot
319,RLbot
320,RLbot
321,RLbot
322,RLbot
323,Standardbot
324,RLbot
325,RLbot
326,RLbot
327,Standardbot
328,Standardbot
329,Standardbot
330,RLbot
331,RLbot
332,RLbot
333,Standardbot
334,Standardbot
335,Standardbot
336,RLbot
337,RLbot
338,Standardbot
339,Standardbot
340,Standardbot
341,Standardbot
342,Standardbot
343,Standardbot
344,Standardbot
345,Standardbot
346,RLbot
347,RLbot
348,RLbot
349,RLbot
350,RLbot
351,Standardbot
352,Standardbot
353,RLbot
354,Standardbot
355,RLbot
356,Standardbot
357,Standardbot
358,RLbot
359,Standardbot
360,Standardbot
361,Standardbot
362,Standardbot
363,Standardbot
364,Standardbot
365,Standardbot
366,Standardbot
367,RLbot
368,RLbot
369,Standardbot
370,RLbot
371,Standardbot
372,RLbot
373,Standardbot
374,Standardbot
375,Standardbot
376,Standardbot
377,Standardbot
378,Standardbot
379,RLbot
380,Standardbot
381,Standardbot
382,RLbot
383,RLbot
384,RLbot
385,RLbot
386,RLbot
387,RLbot
388,RLbot
389,RLbot
390,RLbot
391,Standardbot
392,RLbot
393,Standardbot
394,Standardbot
395,Standardbot
