Round,Winner
0,RLbot
1,Standardbot
2,RLbot
3,RLbot
4,RLbot
5,RLbot
6,RLbot
7,RLbot
8,RLbot
9,Standardbot
10,RLbot
11,RLbot
12,RLbot
13,RLbot
14,RLbot
15,RLbot
16,RLbot
17,RLbot
18,RLbot
19,RLbot
20,RLbot
21,RLbot
22,RLbot
23,RLbot
24,RLbot
25,RLbot
26,RLbot
27,RLbot
28,RLbot
29,RLbot
30,RLbot
31,RLbot
32,RLbot
33,RLbot
34,RLbot
35,Standardbot
36,RLbot
37,RLbot
38,RLbot
39,RLbot
40,RLbot
41,RLbot
42,RLbot
43,RLbot
44,RLbot
45,RLbot
46,RLbot
47,RLbot
48,RLbot
49,RLbot
50,RLbot
51,RLbot
52,RLbot
53,RLbot
54,RLbot
55,RLbot
56,RLbot
57,Standardbot
58,RLbot
59,RLbot
60,RLbot
61,RLbot
62,RLbot
63,RLbot
64,RLbot
65,RLbot
66,RLbot
67,RLbot
68,RLbot
69,RLbot
70,RLbot
71,RLbot
72,Standardbot
73,RLbot
74,RLbot
75,RLbot
76,Standardbot
77,Standardbot
78,RLbot
79,RLbot
80,RLbot
81,Standardbot
82,RLbot
83,RLbot
84,RLbot
85,RLbot
86,RLbot
87,RLbot
88,RLbot
89,RLbot
90,RLbot
91,RLbot
92,RLbot
93,RLbot
94,RLbot
95,RLbot
96,RLbot
97,RLbot
98,RLbot
99,RLbot
100,RLbot
101,RLbot
102,RLbot
103,RLbot
104,RLbot
105,RLbot
106,RLbot
107,RLbot
108,RLbot
109,RLbot
110,RLbot
111,RLbot
112,RLbot
113,RLbot
114,RLbot
115,RLbot
116,RLbot
117,RLbot
118,RLbot
119,RLbot
120,RLbot
121,RLbot
122,RLbot
123,RLbot
124,RLbot
125,RLbot
126,RLbot
127,RLbot
128,RLbot
129,RLbot
130,RLbot
131,RLbot
132,RLbot
133,RLbot
134,RLbot
135,RLbot
136,Standardbot
137,RLbot
138,RLbot
139,RLbot
140,RLbot
141,RLbot
142,RLbot
143,RLbot
144,RLbot
