Round,Winner
0,Standardbot
1,Standardbot
2,RLbot
3,RLbot
4,RLbot
5,RLbot
6,RLbot
7,RLbot
8,RLbot
9,RLbot
10,RLbot
11,RLbot
12,RLbot
13,RLbot
14,RLbot
15,RLbot
16,RLbot
17,RLbot
18,RLbot
19,RLbot
20,RLbot
21,RLbot
22,RLbot
23,RLbot
24,RLbot
25,RLbot
26,Standardbot
27,RLbot
28,RLbot
29,RLbot
30,RLbot
31,RLbot
32,RLbot
33,Standardbot
34,RLbot
35,RLbot
36,RLbot
37,RLbot
38,RLbot
39,RLbot
40,RLbot
41,Standardbot
42,RLbot
43,RLbot
44,RLbot
45,Standardbot
46,RLbot
47,RLbot
48,RLbot
49,RLbot
50,RLbot
51,RLbot
52,RLbot
53,RLbot
54,RLbot
55,RLbot
56,RLbot
57,RLbot
58,RLbot
59,RLbot
60,RLbot
61,RLbot
62,RLbot
63,RLbot
64,RLbot
65,RLbot
66,RLbot
67,RLbot
68,RLbot
69,RLbot
70,RLbot
71,RLbot
72,RLbot
73,RLbot
74,RLbot
75,RLbot
76,RLbot
77,RLbot
78,RLbot
79,RLbot
80,RLbot
81,RLbot
82,RLbot
83,Standardbot
84,RLbot
85,Standardbot
86,RLbot
87,RLbot
88,RLbot
89,RLbot
90,RLbot
91,RLbot
92,RLbot
93,RLbot
94,RLbot
95,RLbot
96,RLbot
97,RLbot
98,RLbot
99,RLbot
100,RLbot
101,RLbot
102,RLbot
103,RLbot
104,RLbot
105,RLbot
106,Standardbot
107,RLbot
108,RLbot
109,Standardbot
110,RLbot
111,Standardbot
112,Standardbot
113,Standardbot
114,Standardbot
115,RLbot
116,RLbot
117,Standardbot
118,Standardbot
119,RLbot
120,RLbot
121,Standardbot
122,RLbot
123,Standardbot
124,Standardbot
125,RLbot
126,Standardbot
127,Standardbot
128,Standardbot
129,RLbot
130,RLbot
131,Standardbot
132,Standardbot
133,RLbot
134,Standardbot
135,RLbot
136,RLbot
137,Standardbot
138,Standardbot
139,Standardbot
140,Standardbot
141,Standardbot
142,Standardbot
143,RLbot
144,Standardbot
145,Standardbot
146,Standardbot
147,Standardbot
148,Standardbot
149,Standardbot
150,Standardbot
151,RLbot
152,Standardbot
153,RLbot
154,RLbot
155,Standardbot
156,Standardbot
157,Standardbot
158,Standardbot
159,Standardbot
160,Standardbot
161,Standardbot
162,Standardbot
163,RLbot
164,Standardbot
165,Standardbot
166,Standardbot
167,RLbot
168,RLbot
169,RLbot
170,RLbot
171,Standardbot
172,RLbot
173,Standardbot
174,RLbot
175,RLbot
176,Standardbot
177,Standardbot
178,Standardbot
179,Standardbot
180,Standardbot
181,RLbot
182,Standardbot
183,Standardbot
184,Standardbot
185,RLbot
186,Standardbot
187,Standardbot
188,Standardbot
189,Standardbot
190,RLbot
191,Standardbot
192,RLbot
193,Standardbot
194,RLbot
195,Standardbot
196,RLbot
197,RLbot
198,Standardbot
199,Standardbot
200,RLbot
201,Standardbot
202,Standardbot
203,RLbot
204,Standardbot
205,Standardbot
206,Standardbot
207,Standardbot
208,Standardbot
209,Standardbot
210,Standardbot
211,RLbot
212,Standardbot
213,Standardbot
214,Standardbot
215,RLbot
216,RLbot
217,Standardbot
218,Standardbot
219,Standardbot
220,Standardbot
221,Standardbot
222,RLbot
223,RLbot
224,RLbot
225,RLbot
226,Standardbot
227,Standardbot
228,RLbot
229,RLbot
230,Standardbot
231,RLbot
232,RLbot
233,Standardbot
