Round,Winner
0,RLbot
1,RLbot
2,RLbot
3,RLbot
4,RLbot
5,RLbot
6,RLbot
7,RLbot
8,RLbot
9,RLbot
10,RLbot
11,RLbot
12,RLbot
13,RLbot
14,RLbot
15,RLbot
16,RLbot
17,Standardbot
18,RLbot
19,RLbot
20,RLbot
21,RLbot
22,RLbot
23,RLbot
24,RLbot
25,RLbot
26,RLbot
27,RLbot
28,RLbot
29,RLbot
30,Standardbot
31,RLbot
32,RLbot
33,RLbot
34,RLbot
35,RLbot
36,RLbot
37,RLbot
38,RLbot
39,RLbot
40,RLbot
41,RLbot
42,RLbot
43,RLbot
44,RLbot
45,RLbot
46,RLbot
47,RLbot
48,RLbot
49,RLbot
50,RLbot
51,RLbot
52,RLbot
53,RLbot
54,RLbot
55,RLbot
56,RLbot
57,RLbot
58,RLbot
59,RLbot
60,RLbot
61,RLbot
62,Standardbot
63,RLbot
64,RLbot
65,RLbot
66,RLbot
67,RLbot
68,RLbot
69,RLbot
70,RLbot
71,RLbot
72,RLbot
73,RLbot
74,RLbot
75,RLbot
76,RLbot
77,RLbot
78,RLbot
79,RLbot
80,RLbot
81,Standardbot
82,RLbot
83,RLbot
84,RLbot
85,RLbot
86,RLbot
87,Standardbot
88,RLbot
89,RLbot
90,RLbot
91,Standardbot
92,RLbot
93,RLbot
94,Standardbot
95,RLbot
96,RLbot
97,RLbot
98,Standardbot
99,Standardbot
100,Standardbot
101,Standardbot
102,Standardbot
103,Standardbot
104,RLbot
105,RLbot
106,Standardbot
107,Standardbot
108,RLbot
109,RLbot
110,RLbot
111,RLbot
112,Standardbot
113,Standardbot
114,RLbot
115,Standardbot
116,RLbot
117,Standardbot
118,Standardbot
119,Standardbot
120,RLbot
121,RLbot
122,RLbot
123,Standardbot
124,Standardbot
125,Standardbot
126,Standardbot
127,Standardbot
128,RLbot
129,Standardbot
130,Standardbot
131,Standardbot
132,Standardbot
133,Standardbot
134,Standardbot
135,Standardbot
136,Standardbot
137,RLbot
138,Standardbot
139,Standardbot
140,Standardbot
141,RLbot
142,RLbot
143,Standardbot
144,Standardbot
145,Standardbot
146,Standardbot
147,RLbot
148,Standardbot
149,Standardbot
150,Standardbot
151,Standardbot
152,RLbot
153,RLbot
154,Standardbot
155,Standardbot
156,RLbot
157,Standardbot
158,Standardbot
159,Standardbot
160,RLbot
161,RLbot
162,Standardbot
163,Standardbot
164,draw
165,RLbot
166,Standardbot
167,Standardbot
168,Standardbot
169,RLbot
170,RLbot
171,Standardbot
172,Standardbot
173,Standardbot
174,Standardbot
175,Standardbot
176,RLbot
177,RLbot
178,Standardbot
179,Standardbot
180,Standardbot
181,Standardbot
182,Standardbot
183,Standardbot
184,RLbot
185,Standardbot
186,RLbot
187,RLbot
188,Standardbot
189,Standardbot
190,Standardbot
191,RLbot
192,RLbot
193,RLbot
194,Standardbot
195,Standardbot
196,RLbot
197,Standardbot
198,Standardbot
199,Standardbot
200,Standardbot
201,RLbot
202,Standardbot
203,Standardbot
204,RLbot
205,RLbot
206,Standardbot
207,Standardbot
208,RLbot
209,Standardbot
210,RLbot
211,RLbot
212,RLbot
213,Standardbot
214,RLbot
215,RLbot
216,RLbot
217,RLbot
218,Standardbot
219,RLbot
220,RLbot
221,RLbot
222,RLbot
223,RLbot
224,RLbot
225,Standardbot
226,RLbot
227,Standardbot
228,Standardbot
229,Standardbot
230,Standardbot
231,Standardbot
232,RLbot
233,RLbot
234,RLbot
235,Standardbot
236,RLbot
237,Standardbot
238,Standardbot
239,RLbot
240,Standardbot
241,RLbot
242,Standardbot
243,Standardbot
244,RLbot
245,RLbot
246,RLbot
247,Standardbot
248,RLbot
249,Standardbot
250,RLbot
251,RLbot
252,Standardbot
253,Standardbot
254,Standardbot
255,Standardbot
256,RLbot
257,Standardbot
258,RLbot
259,RLbot
260,Standardbot
261,Standardbot
262,Standardbot
263,Standardbot
264,Standardbot
265,Standardbot
266,Standardbot
267,RLbot
268,RLbot
269,Standardbot
270,RLbot
271,Standardbot
272,Standardbot
273,Standardbot
274,Standardbot
275,Standardbot
276,Standardbot
277,RLbot
278,RLbot
279,RLbot
280,RLbot
281,RLbot
282,Standardbot
283,Standardbot
284,Standardbot
285,RLbot
286,RLbot
287,RLbot
288,RLbot
289,RLbot
290,RLbot
291,Standardbot
292,Standardbot
293,Standardbot
294,Standardbot
295,RLbot
296,RLbot
297,RLbot
298,RLbot
299,Standardbot
300,RLbot
301,RLbot
302,Standardbot
303,RLbot
304,RLbot
305,Standardbot
306,Standardbot
307,Standardbot
308,Standardbot
309,Standardbot
310,Standardbot
311,RLbot
312,Standardbot
313,Standardbot
314,RLbot
315,Standardbot
316,Standardbot
317,RLbot
318,Standardbot
319,Standardbot
320,RLbot
321,RLbot
322,Standardbot
323,RLbot
324,Standardbot
325,Standardbot
326,Standardbot
327,RLbot
328,Standardbot
329,RLbot
330,RLbot
331,RLbot
332,RLbot
333,RLbot
334,RLbot
335,Standardbot
336,Standardbot
337,Standardbot
338,Standardbot
339,RLbot
340,RLbot
341,RLbot
342,RLbot
343,RLbot
344,RLbot
345,Standardbot
346,RLbot
347,Standardbot
348,Standardbot
349,Standardbot
350,Standardbot
351,Standardbot
352,RLbot
353,RLbot
354,RLbot
355,Standardbot
356,Standardbot
357,RLbot
358,Standardbot
359,Standardbot
360,RLbot
361,Standardbot
362,Standardbot
363,Standardbot
364,Standardbot
365,Standardbot
366,RLbot
367,RLbot
368,RLbot
369,Standardbot
370,Standardbot
371,RLbot
372,RLbot
373,RLbot
374,RLbot
375,Standardbot
376,RLbot
377,Standardbot
378,RLbot
379,RLbot
380,RLbot
381,RLbot
382,RLbot
383,RLbot
384,RLbot
385,RLbot
386,Standardbot
387,Standardbot
388,RLbot
389,RLbot
390,RLbot
391,Standardbot
392,Standardbot
393,RLbot
394,RLbot
395,RLbot
396,RLbot
