Round,Winner
0,RLbot
1,RLbot
2,RLbot
3,RLbot
4,RLbot
5,RLbot
6,Standardbot
7,Standardbot
8,RLbot
9,RLbot
10,Standardbot
11,RLbot
12,Standardbot
13,Standardbot
14,Standardbot
15,RLbot
16,Standardbot
17,Standardbot
18,Standardbot
19,Standardbot
20,RLbot
21,RLbot
22,RLbot
23,Standardbot
24,Standardbot
25,RLbot
26,RLbot
27,RLbot
28,RLbot
29,Standardbot
30,Standardbot
31,Standardbot
32,Standardbot
33,RLbot
34,RLbot
35,Standardbot
36,Standardbot
37,Standardbot
38,Standardbot
39,Standardbot
40,RLbot
41,Standardbot
42,Standardbot
43,Standardbot
44,Standardbot
45,RLbot
46,Standardbot
47,RLbot
48,Standardbot
49,Standardbot
50,Standardbot
51,Standardbot
52,Standardbot
53,Standardbot
54,Standardbot
55,Standardbot
56,RLbot
57,Standardbot
58,Standardbot
59,RLbot
60,Standardbot
61,RLbot
62,RLbot
63,Standardbot
64,RLbot
65,Standardbot
66,Standardbot
67,Standardbot
68,RLbot
69,RLbot
70,Standardbot
71,RLbot
72,Standardbot
73,RLbot
74,RLbot
75,RLbot
76,Standardbot
77,Standardbot
78,RLbot
79,Standardbot
80,RLbot
81,Standardbot
82,Standardbot
83,Standardbot
84,RLbot
85,RLbot
86,Standardbot
87,Standardbot
88,RLbot
89,RLbot
90,RLbot
91,RLbot
92,RLbot
93,Standardbot
94,RLbot
95,RLbot
96,Standardbot
97,Standardbot
98,Standardbot
99,Standardbot
100,Standardbot
101,RLbot
102,Standardbot
103,Standardbot
104,Standardbot
105,Standardbot
106,Standardbot
107,Standardbot
108,RLbot
109,Standardbot
110,RLbot
111,RLbot
112,Standardbot
113,Standardbot
114,RLbot
115,RLbot
116,Standardbot
117,Standardbot
118,Standardbot
119,RLbot
120,RLbot
121,Standardbot
122,Standardbot
123,RLbot
124,Standardbot
125,Standardbot
126,RLbot
127,Standardbot
128,Standardbot
129,Standardbot
130,Standardbot
131,RLbot
132,Standardbot
133,Standardbot
134,Standardbot
135,Standardbot
136,Standardbot
137,RLbot
138,RLbot
139,RLbot
140,Standardbot
141,Standardbot
142,Standardbot
143,Standardbot
144,RLbot
145,Standardbot
146,Standardbot
147,Standardbot
148,Standardbot
149,Standardbot
150,RLbot
151,Standardbot
152,Standardbot
153,Standardbot
154,Standardbot
155,Standardbot
156,Standardbot
157,RLbot
158,RLbot
159,Standardbot
160,Standardbot
161,Standardbot
162,RLbot
163,Standardbot
164,Standardbot
165,RLbot
166,Standardbot
167,Standardbot
168,Standardbot
169,Standardbot
170,RLbot
171,Standardbot
172,RLbot
173,Standardbot
174,Standardbot
175,Standardbot
176,Standardbot
177,Standardbot
178,RLbot
179,Standardbot
180,Standardbot
181,Standardbot
182,Standardbot
183,RLbot
184,Standardbot
185,RLbot
186,Standardbot
187,RLbot
188,Standardbot
189,Standardbot
190,Standardbot
191,Standardbot
192,RLbot
193,Standardbot
194,Standardbot
195,Standardbot
196,Standardbot
197,Standardbot
198,Standardbot
199,Standardbot
200,Standardbot
201,Standardbot
202,Standardbot
203,Standardbot
204,Standardbot
205,Standardbot
206,Standardbot
207,Standardbot
208,RLbot
209,Standardbot
210,Standardbot
211,RLbot
212,Standardbot
213,Standardbot
214,RLbot
215,RLbot
216,RLbot
217,Standardbot
218,Standardbot
219,Standardbot
220,RLbot
221,RLbot
222,RLbot
223,RLbot
224,RLbot
225,Standardbot
226,Standardbot
227,Standardbot
228,Standardbot
229,RLbot
230,Standardbot
231,Standardbot
232,Standardbot
233,Standardbot
234,Standardbot
235,Standardbot
236,Standardbot
237,Standardbot
238,Standardbot
239,Standardbot
240,RLbot
241,RLbot
242,Standardbot
243,RLbot
244,Standardbot
245,Standardbot
246,Standardbot
247,Standardbot
248,Standardbot
249,Standardbot
250,RLbot
251,RLbot
252,Standardbot
253,Standardbot
254,Standardbot
255,Standardbot
256,Standardbot
257,Standardbot
258,Standardbot
259,RLbot
260,Standardbot
261,Standardbot
262,Standardbot
263,Standardbot
264,Standardbot
265,RLbot
266,Standardbot
267,Standardbot
268,Standardbot
269,Standardbot
270,Standardbot
271,Standardbot
272,RLbot
273,Standardbot
274,Standardbot
275,Standardbot
276,Standardbot
277,Standardbot
278,RLbot
279,Standardbot
280,Standardbot
281,RLbot
282,Standardbot
283,Standardbot
284,Standardbot
285,RLbot
286,RLbot
287,Standardbot
288,Standardbot
289,Standardbot
290,Standardbot
291,RLbot
292,Standardbot
293,Standardbot
294,Standardbot
295,Standardbot
296,RLbot
297,RLbot
298,Standardbot
299,Standardbot
300,RLbot
301,Standardbot
302,Standardbot
303,RLbot
304,RLbot
305,Standardbot
306,Standardbot
307,RLbot
308,Standardbot
309,Standardbot
310,Standardbot
311,Standardbot
312,RLbot
313,Standardbot
314,RLbot
315,Standardbot
316,RLbot
317,RLbot
318,RLbot
319,Standardbot
320,RLbot
321,RLbot
322,Standardbot
323,Standardbot
324,Standardbot
325,Standardbot
326,RLbot
327,Standardbot
328,Standardbot
329,Standardbot
330,RLbot
331,Standardbot
332,RLbot
333,Standardbot
334,RLbot
335,RLbot
336,Standardbot
337,Standardbot
338,Standardbot
339,Standardbot
340,Standardbot
341,Standardbot
342,Standardbot
343,Standardbot
344,Standardbot
345,Standardbot
346,Standardbot
347,Standardbot
348,Standardbot
349,Standardbot
350,Standardbot
351,Standardbot
352,Standardbot
353,Standardbot
354,Standardbot
355,Standardbot
356,Standardbot
357,Standardbot
358,RLbot
359,RLbot
360,Standardbot
361,Standardbot
362,RLbot
363,Standardbot
364,Standardbot
365,Standardbot
366,Standardbot
367,RLbot
368,RLbot
369,Standardbot
370,Standardbot
371,RLbot
372,Standardbot
373,Standardbot
374,Standardbot
375,Standardbot
376,Standardbot
377,Standardbot
378,RLbot
379,Standardbot
380,Standardbot
381,Standardbot
382,Standardbot
383,Standardbot
