Round,Winner
0,Standardbot
1,Standardbot
2,RLbot
3,RLbot
4,RLbot
5,RLbot
6,RLbot
7,Standardbot
8,RLbot
9,RLbot
10,RLbot
11,RLbot
12,RLbot
13,Standardbot
14,Standardbot
15,RLbot
16,Standardbot
17,RLbot
18,RLbot
19,RLbot
20,RLbot
21,RLbot
22,RLbot
23,RLbot
24,RLbot
25,Standardbot
26,RLbot
27,RLbot
28,RLbot
29,Standardbot
30,RLbot
31,Standardbot
32,Standardbot
33,Standardbot
34,RLbot
35,Standardbot
36,RLbot
37,RLbot
38,RLbot
39,Standardbot
40,RLbot
41,RLbot
42,RLbot
43,RLbot
44,RLbot
45,RLbot
46,RLbot
47,RLbot
48,RLbot
49,RLbot
50,RLbot
51,Standardbot
52,RLbot
53,RLbot
54,Standardbot
55,Standardbot
56,RLbot
57,RLbot
58,Standardbot
59,Standardbot
60,RLbot
61,RLbot
62,RLbot
63,RLbot
64,Standardbot
65,RLbot
66,RLbot
67,RLbot
68,Standardbot
69,RLbot
70,RLbot
71,RLbot
72,Standardbot
73,RLbot
74,RLbot
75,RLbot
76,RLbot
77,Standardbot
78,RLbot
79,Standardbot
80,RLbot
81,RLbot
82,Standardbot
83,RLbot
84,Standardbot
85,Standardbot
86,RLbot
87,RLbot
88,Standardbot
89,RLbot
90,Standardbot
91,RLbot
92,RLbot
93,Standardbot
94,Standardbot
95,RLbot
96,RLbot
97,Standardbot
98,RLbot
99,RLbot
100,RLbot
101,Standardbot
102,RLbot
103,RLbot
104,RLbot
105,RLbot
106,RLbot
107,RLbot
108,RLbot
109,RLbot
110,RLbot
111,Standardbot
112,RLbot
113,RLbot
114,Standardbot
115,Standardbot
116,RLbot
117,RLbot
118,Standardbot
119,RLbot
120,RLbot
121,Standardbot
122,RLbot
123,RLbot
124,Standardbot
125,RLbot
126,RLbot
127,RLbot
128,Standardbot
129,Standardbot
130,RLbot
131,RLbot
132,RLbot
133,RLbot
134,Standardbot
135,Standardbot
136,RLbot
137,RLbot
138,Standardbot
139,RLbot
140,Standardbot
141,RLbot
142,RLbot
143,Standardbot
144,Standardbot
145,RLbot
146,RLbot
147,Standardbot
148,RLbot
149,Standardbot
150,Standardbot
151,RLbot
152,Standardbot
153,RLbot
154,Standardbot
155,Standardbot
156,Standardbot
157,RLbot
158,RLbot
159,Standardbot
160,RLbot
161,Standardbot
162,Standardbot
163,RLbot
164,RLbot
165,RLbot
166,RLbot
167,RLbot
168,Standardbot
169,RLbot
170,Standardbot
171,RLbot
172,Standardbot
173,RLbot
174,RLbot
175,Standardbot
176,RLbot
177,Standardbot
178,RLbot
179,RLbot
180,Standardbot
181,RLbot
182,Standardbot
183,RLbot
184,RLbot
185,RLbot
186,Standardbot
187,Standardbot
188,Standardbot
189,RLbot
190,RLbot
191,Standardbot
192,Standardbot
193,RLbot
194,RLbot
195,RLbot
196,Standardbot
197,Standardbot
198,Standardbot
199,RLbot
200,Standardbot
201,Standardbot
202,Standardbot
203,RLbot
204,Standardbot
205,RLbot
206,Standardbot
207,RLbot
208,Standardbot
209,Standardbot
210,Standardbot
211,Standardbot
212,Standardbot
213,RLbot
214,RLbot
215,RLbot
216,RLbot
217,RLbot
218,Standardbot
219,RLbot
220,Standardbot
221,Standardbot
222,RLbot
223,Standardbot
224,Standardbot
225,RLbot
226,Standardbot
227,RLbot
228,RLbot
229,RLbot
230,RLbot
231,RLbot
232,RLbot
233,Standardbot
