Round,Winner
0,RLbot
1,RLbot
2,Standardbot
3,RLbot
4,RLbot
5,Standardbot
6,RLbot
7,RLbot
8,RLbot
9,RLbot
10,RLbot
11,RLbot
12,RLbot
13,Standardbot
14,RLbot
15,RLbot
16,Standardbot
17,RLbot
18,RLbot
19,RLbot
20,Standardbot
21,RLbot
22,RLbot
23,RLbot
24,Standardbot
25,RLbot
26,Standardbot
27,RLbot
28,Standardbot
29,RLbot
30,RLbot
31,Standardbot
32,RLbot
33,RLbot
34,Standardbot
35,Standardbot
36,RLbot
37,Standardbot
38,RLbot
39,RLbot
40,Standardbot
41,Standardbot
42,RLbot
43,RLbot
44,RLbot
45,RLbot
46,RLbot
47,RLbot
48,Standardbot
49,RLbot
50,RLbot
51,RLbot
52,RLbot
53,RLbot
54,RLbot
55,Standardbot
56,RLbot
57,RLbot
58,Standardbot
59,Standardbot
60,Standardbot
61,RLbot
62,Standardbot
63,RLbot
64,RLbot
65,Standardbot
66,RLbot
67,RLbot
68,RLbot
69,RLbot
70,RLbot
71,RLbot
72,RLbot
73,RLbot
74,Standardbot
75,RLbot
76,Standardbot
77,RLbot
78,Standardbot
79,RLbot
80,Standardbot
81,Standardbot
82,RLbot
83,RLbot
84,Standardbot
85,RLbot
86,RLbot
87,RLbot
88,Standardbot
89,RLbot
90,RLbot
91,RLbot
92,Standardbot
93,Standardbot
94,RLbot
95,Standardbot
96,Standardbot
97,RLbot
98,RLbot
99,RLbot
100,RLbot
101,RLbot
102,Standardbot
103,Standardbot
104,RLbot
105,Standardbot
106,RLbot
107,Standardbot
108,RLbot
109,Standardbot
110,RLbot
111,RLbot
112,Standardbot
113,Standardbot
114,RLbot
115,Standardbot
116,RLbot
117,RLbot
118,Standardbot
119,RLbot
120,RLbot
121,RLbot
122,RLbot
123,RLbot
124,Standardbot
125,Standardbot
126,Standardbot
127,Standardbot
128,RLbot
129,Standardbot
130,RLbot
131,RLbot
132,Standardbot
133,RLbot
134,Standardbot
135,Standardbot
136,Standardbot
137,RLbot
138,RLbot
139,RLbot
140,RLbot
141,RLbot
142,Standardbot
143,RLbot
144,RLbot
145,RLbot
146,Standardbot
147,RLbot
148,RLbot
149,Standardbot
150,Standardbot
151,RLbot
152,Standardbot
153,Standardbot
154,RLbot
155,Standardbot
156,RLbot
157,Standardbot
158,RLbot
159,RLbot
160,RLbot
161,Standardbot
162,Standardbot
163,Standardbot
164,Standardbot
165,Standardbot
166,RLbot
167,RLbot
168,RLbot
169,RLbot
170,Standardbot
171,Standardbot
172,RLbot
173,Standardbot
174,RLbot
175,Standardbot
176,Standardbot
177,RLbot
178,RLbot
179,Standardbot
180,Standardbot
181,RLbot
182,Standardbot
183,RLbot
184,RLbot
185,Standardbot
186,Standardbot
187,RLbot
188,RLbot
189,RLbot
190,RLbot
191,Standardbot
192,Standardbot
193,RLbot
194,RLbot
195,Standardbot
196,RLbot
197,RLbot
198,RLbot
199,Standardbot
200,RLbot
201,RLbot
202,Standardbot
203,RLbot
204,Standardbot
205,Standardbot
206,Standardbot
207,Standardbot
208,Standardbot
209,RLbot
210,Standardbot
211,RLbot
212,Standardbot
213,Standardbot
214,Standardbot
215,Standardbot
216,RLbot
217,RLbot
218,RLbot
219,Standardbot
220,Standardbot
221,RLbot
222,Standardbot
223,Standardbot
224,RLbot
225,Standardbot
226,RLbot
227,Standardbot
228,RLbot
229,Standardbot
230,Standardbot
231,RLbot
232,RLbot
233,RLbot
234,RLbot
235,RLbot
236,RLbot
237,RLbot
238,RLbot
239,RLbot
240,Standardbot
241,RLbot
242,Standardbot
243,RLbot
244,RLbot
245,RLbot
246,Standardbot
247,Standardbot
248,RLbot
249,Standardbot
250,Standardbot
251,Standardbot
252,Standardbot
253,RLbot
254,Standardbot
255,Standardbot
256,RLbot
257,Standardbot
258,RLbot
259,RLbot
260,Standardbot
261,RLbot
262,RLbot
263,Standardbot
264,Standardbot
265,Standardbot
266,RLbot
267,RLbot
268,Standardbot
269,RLbot
270,Standardbot
271,RLbot
272,Standardbot
273,RLbot
274,Standardbot
275,RLbot
276,Standardbot
277,RLbot
278,Standardbot
279,RLbot
280,Standardbot
281,RLbot
282,Standardbot
283,RLbot
284,RLbot
285,RLbot
286,Standardbot
287,RLbot
288,Standardbot
289,Standardbot
290,RLbot
291,Standardbot
292,Standardbot
293,Standardbot
294,Standardbot
295,RLbot
296,RLbot
297,RLbot
298,RLbot
299,RLbot
300,RLbot
301,Standardbot
302,RLbot
303,RLbot
304,Standardbot
305,Standardbot
306,RLbot
307,RLbot
308,RLbot
309,RLbot
310,Standardbot
311,Standardbot
312,RLbot
313,RLbot
314,Standardbot
315,RLbot
316,Standardbot
317,Standardbot
318,RLbot
319,RLbot
320,Standardbot
321,RLbot
322,Standardbot
323,Standardbot
324,RLbot
325,Standardbot
326,Standardbot
327,Standardbot
328,Standardbot
329,Standardbot
330,RLbot
331,RLbot
332,Standardbot
333,RLbot
334,RLbot
335,Standardbot
336,Standardbot
337,Standardbot
338,RLbot
339,RLbot
340,Standardbot
341,RLbot
342,Standardbot
343,RLbot
344,Standardbot
345,RLbot
346,Standardbot
347,Standardbot
348,RLbot
349,Standardbot
350,RLbot
351,Standardbot
352,RLbot
353,Standardbot
354,RLbot
355,Standardbot
356,RLbot
357,RLbot
358,Standardbot
359,Standardbot
360,RLbot
361,RLbot
362,Standardbot
363,Standardbot
364,Standardbot
365,Standardbot
366,Standardbot
367,Standardbot
368,RLbot
369,Standardbot
370,RLbot
371,Standardbot
372,RLbot
373,Standardbot
374,RLbot
375,RLbot
376,RLbot
377,Standardbot
378,RLbot
379,RLbot
380,Standardbot
381,Standardbot
382,RLbot
383,RLbot
384,Standardbot
385,RLbot
386,Standardbot
387,Standardbot
388,Standardbot
389,RLbot
390,RLbot
391,RLbot
392,RLbot
393,Standardbot
394,RLbot
395,RLbot
