Round,Winner
0,RLbot
1,RLbot
2,RLbot
3,RLbot
4,RLbot
5,RLbot
6,RLbot
7,RLbot
8,RLbot
9,Standardbot
10,RLbot
11,Standardbot
12,RLbot
13,Standardbot
14,RLbot
15,Standardbot
16,RLbot
17,Standardbot
18,RLbot
19,Standardbot
20,RLbot
21,Standardbot
22,RLbot
23,Standardbot
24,Standardbot
25,RLbot
26,Standardbot
27,RLbot
28,RLbot
29,RLbot
30,RLbot
31,Standardbot
32,RLbot
33,RLbot
34,Standardbot
35,RLbot
36,RLbot
37,RLbot
38,Standardbot
39,RLbot
40,Standardbot
41,RLbot
42,Standardbot
43,Standardbot
44,Standardbot
45,RLbot
46,RLbot
47,RLbot
48,RLbot
49,RLbot
50,RLbot
51,Standardbot
52,Standardbot
53,RLbot
54,Standardbot
55,RLbot
56,RLbot
57,Standardbot
58,RLbot
59,RLbot
60,RLbot
61,RLbot
62,RLbot
63,RLbot
64,RLbot
65,RLbot
66,RLbot
67,Standardbot
68,RLbot
69,RLbot
70,Standardbot
71,Standardbot
72,Standardbot
73,RLbot
74,Standardbot
75,RLbot
76,Standardbot
77,Standardbot
78,RLbot
79,RLbot
80,Standardbot
81,Standardbot
82,RLbot
83,Standardbot
84,RLbot
85,Standardbot
86,RLbot
87,RLbot
88,RLbot
89,Standardbot
90,Standardbot
91,RLbot
92,Standardbot
93,Standardbot
94,RLbot
95,RLbot
96,RLbot
97,RLbot
98,Standardbot
99,Standardbot
100,RLbot
101,RLbot
102,Standardbot
103,RLbot
104,Standardbot
105,RLbot
106,Standardbot
107,RLbot
108,Standardbot
109,Standardbot
110,RLbot
111,Standardbot
112,Standardbot
113,Standardbot
114,RLbot
115,Standardbot
116,Standardbot
117,RLbot
118,Standardbot
119,Standardbot
120,RLbot
121,Standardbot
122,Standardbot
123,Standardbot
124,RLbot
125,Standardbot
126,Standardbot
127,Standardbot
128,Standardbot
129,RLbot
130,Standardbot
131,Standardbot
132,Standardbot
133,Standardbot
134,Standardbot
135,RLbot
136,Standardbot
137,RLbot
138,RLbot
139,Standardbot
140,Standardbot
141,Standardbot
142,Standardbot
143,RLbot
144,RLbot
145,RLbot
146,RLbot
147,RLbot
148,Standardbot
149,Standardbot
150,RLbot
151,Standardbot
152,RLbot
153,RLbot
154,Standardbot
155,Standardbot
156,RLbot
157,RLbot
158,Standardbot
159,Standardbot
160,Standardbot
161,RLbot
162,RLbot
163,Standardbot
164,Standardbot
165,RLbot
166,RLbot
167,RLbot
168,RLbot
169,RLbot
170,RLbot
171,Standardbot
172,RLbot
173,Standardbot
174,Standardbot
175,RLbot
176,Standardbot
177,RLbot
178,Standardbot
179,RLbot
180,RLbot
181,Standardbot
182,RLbot
183,Standardbot
184,RLbot
185,Standardbot
186,Standardbot
187,Standardbot
188,RLbot
189,RLbot
190,RLbot
191,RLbot
192,RLbot
193,RLbot
194,RLbot
195,RLbot
196,Standardbot
197,RLbot
198,RLbot
199,Standardbot
200,RLbot
201,RLbot
202,RLbot
203,Standardbot
204,Standardbot
205,Standardbot
206,RLbot
207,Standardbot
208,Standardbot
209,Standardbot
210,Standardbot
211,Standardbot
212,Standardbot
213,Standardbot
214,RLbot
215,RLbot
216,Standardbot
217,Standardbot
218,Standardbot
219,Standardbot
220,Standardbot
221,Standardbot
222,Standardbot
223,Standardbot
224,RLbot
225,RLbot
226,RLbot
227,Standardbot
228,Standardbot
229,Standardbot
230,Standardbot
231,Standardbot
232,RLbot
233,Standardbot
234,RLbot
235,RLbot
236,RLbot
237,Standardbot
238,Standardbot
239,RLbot
240,Standardbot
241,Standardbot
242,RLbot
243,RLbot
244,Standardbot
245,Standardbot
246,Standardbot
247,RLbot
248,RLbot
249,Standardbot
250,Standardbot
251,Standardbot
252,Standardbot
253,Standardbot
254,RLbot
255,RLbot
256,Standardbot
257,RLbot
258,RLbot
259,Standardbot
260,RLbot
261,Standardbot
262,RLbot
263,Standardbot
264,Standardbot
265,RLbot
266,Standardbot
267,RLbot
268,Standardbot
269,Standardbot
270,Standardbot
271,Standardbot
272,Standardbot
273,RLbot
274,Standardbot
275,RLbot
276,RLbot
277,Standardbot
278,Standardbot
279,Standardbot
280,Standardbot
281,Standardbot
282,RLbot
283,RLbot
284,Standardbot
285,Standardbot
286,Standardbot
287,Standardbot
288,RLbot
289,Standardbot
290,Standardbot
291,Standardbot
292,Standardbot
293,Standardbot
294,RLbot
295,Standardbot
296,RLbot
297,Standardbot
298,Standardbot
299,Standardbot
300,Standardbot
301,Standardbot
302,Standardbot
303,Standardbot
304,Standardbot
305,Standardbot
306,RLbot
307,Standardbot
308,RLbot
309,Standardbot
310,RLbot
311,Standardbot
312,RLbot
313,RLbot
314,RLbot
315,Standardbot
316,RLbot
317,Standardbot
318,RLbot
319,Standardbot
320,RLbot
321,Standardbot
322,Standardbot
323,Standardbot
324,Standardbot
325,Standardbot
326,RLbot
327,RLbot
328,Standardbot
329,RLbot
330,Standardbot
331,Standardbot
332,Standardbot
333,Standardbot
334,RLbot
335,Standardbot
336,Standardbot
337,RLbot
338,Standardbot
339,Standardbot
340,RLbot
341,Standardbot
342,Standardbot
343,Standardbot
344,RLbot
345,RLbot
346,Standardbot
347,RLbot
348,RLbot
349,RLbot
350,RLbot
351,Standardbot
352,RLbot
353,Standardbot
354,Standardbot
355,Standardbot
356,Standardbot
357,Standardbot
358,Standardbot
359,Standardbot
360,RLbot
361,RLbot
362,Standardbot
363,Standardbot
364,RLbot
365,RLbot
366,Standardbot
367,RLbot
368,Standardbot
369,Standardbot
370,Standardbot
371,RLbot
372,Standardbot
373,Standardbot
374,Standardbot
375,RLbot
376,Standardbot
377,Standardbot
378,RLbot
379,RLbot
380,RLbot
381,Standardbot
382,RLbot
383,Standardbot
384,Standardbot
385,Standardbot
386,RLbot
387,Standardbot
388,RLbot
389,Standardbot
390,RLbot
