Round,Winner
0,RLbot
1,RLbot
2,RLbot
3,RLbot
4,RLbot
5,RLbot
6,RLbot
7,RLbot
8,RLbot
9,RLbot
10,RLbot
11,RLbot
12,RLbot
13,RLbot
14,RLbot
15,Standardbot
16,RLbot
17,Standardbot
18,RLbot
19,RLbot
20,RLbot
21,RLbot
22,RLbot
23,Standardbot
24,RLbot
25,Standardbot
26,RLbot
27,RLbot
28,RLbot
29,RLbot
30,Standardbot
31,RLbot
32,Standardbot
33,RLbot
34,Standardbot
35,RLbot
36,Standardbot
37,RLbot
38,RLbot
39,RLbot
40,RLbot
41,RLbot
42,Standardbot
43,RLbot
44,Standardbot
45,RLbot
46,Standardbot
47,RLbot
48,RLbot
49,Standardbot
50,Standardbot
51,RLbot
52,Standardbot
53,Standardbot
54,RLbot
55,RLbot
56,Standardbot
57,RLbot
58,RLbot
59,Standardbot
60,Standardbot
61,Standardbot
62,RLbot
63,RLbot
64,Standardbot
65,Standardbot
66,Standardbot
67,RLbot
68,Standardbot
69,Standardbot
70,RLbot
71,Standardbot
72,RLbot
73,RLbot
74,Standardbot
75,RLbot
76,Standardbot
77,RLbot
78,RLbot
79,Standardbot
80,Standardbot
81,RLbot
82,RLbot
83,Standardbot
84,RLbot
85,RLbot
86,Standardbot
87,RLbot
88,RLbot
89,RLbot
90,RLbot
91,Standardbot
92,RLbot
93,Standardbot
94,Standardbot
95,Standardbot
96,Standardbot
97,Standardbot
98,Standardbot
99,RLbot
100,Standardbot
101,RLbot
102,Standardbot
103,RLbot
104,Standardbot
105,RLbot
106,Standardbot
107,RLbot
108,RLbot
109,Standardbot
110,Standardbot
111,Standardbot
112,RLbot
113,RLbot
114,Standardbot
115,RLbot
116,Standardbot
117,Standardbot
118,RLbot
119,RLbot
120,Standardbot
121,RLbot
122,RLbot
123,Standardbot
124,Standardbot
125,Standardbot
126,Standardbot
127,RLbot
128,Standardbot
129,Standardbot
130,Standardbot
131,RLbot
132,Standardbot
133,Standardbot
134,RLbot
135,Standardbot
136,RLbot
137,Standardbot
138,RLbot
139,Standardbot
140,RLbot
141,Standardbot
142,RLbot
143,RLbot
144,RLbot
145,RLbot
146,Standardbot
147,Standardbot
148,Standardbot
149,RLbot
150,Standardbot
151,Standardbot
152,Standardbot
153,RLbot
154,Standardbot
155,Standardbot
156,Standardbot
157,Standardbot
158,RLbot
159,Standardbot
160,Standardbot
161,Standardbot
162,Standardbot
163,Standardbot
164,Standardbot
165,Standardbot
166,RLbot
167,Standardbot
168,Standardbot
169,RLbot
170,Standardbot
171,Standardbot
172,Standardbot
173,Standardbot
174,Standardbot
175,Standardbot
176,RLbot
177,Standardbot
178,Standardbot
179,RLbot
180,Standardbot
181,Standardbot
182,Standardbot
183,Standardbot
184,RLbot
185,Standardbot
186,Standardbot
187,RLbot
188,RLbot
189,RLbot
190,RLbot
191,Standardbot
192,Standardbot
193,Standardbot
194,Standardbot
195,Standardbot
196,Standardbot
197,RLbot
198,RLbot
199,Standardbot
200,RLbot
201,Standardbot
202,Standardbot
203,Standardbot
204,Standardbot
205,Standardbot
206,RLbot
207,RLbot
208,Standardbot
209,Standardbot
210,RLbot
211,Standardbot
212,Standardbot
213,Standardbot
214,Standardbot
215,RLbot
216,Standardbot
217,RLbot
218,RLbot
219,Standardbot
220,RLbot
221,Standardbot
222,Standardbot
223,Standardbot
224,Standardbot
225,RLbot
226,RLbot
227,Standardbot
228,Standardbot
229,RLbot
230,RLbot
231,Standardbot
232,RLbot
233,Standardbot
234,Standardbot
235,Standardbot
236,Standardbot
237,Standardbot
238,Standardbot
239,Standardbot
240,Standardbot
241,Standardbot
242,Standardbot
243,Standardbot
244,Standardbot
245,RLbot
246,Standardbot
247,Standardbot
248,Standardbot
249,Standardbot
250,Standardbot
251,Standardbot
252,Standardbot
253,RLbot
254,RLbot
255,RLbot
256,Standardbot
257,RLbot
258,Standardbot
259,Standardbot
260,RLbot
261,RLbot
262,Standardbot
263,Standardbot
264,Standardbot
265,RLbot
266,Standardbot
267,Standardbot
268,Standardbot
269,Standardbot
270,Standardbot
271,Standardbot
272,Standardbot
273,Standardbot
274,RLbot
275,RLbot
276,Standardbot
277,RLbot
278,Standardbot
279,Standardbot
280,RLbot
281,Standardbot
282,RLbot
283,Standardbot
284,Standardbot
285,RLbot
286,Standardbot
287,Standardbot
288,Standardbot
289,Standardbot
290,Standardbot
291,Standardbot
292,Standardbot
293,Standardbot
294,Standardbot
295,Standardbot
296,Standardbot
297,Standardbot
298,Standardbot
299,Standardbot
300,Standardbot
301,Standardbot
302,RLbot
303,Standardbot
304,Standardbot
305,RLbot
306,Standardbot
307,Standardbot
308,Standardbot
309,Standardbot
310,Standardbot
311,Standardbot
312,RLbot
313,RLbot
314,RLbot
315,Standardbot
316,RLbot
317,Standardbot
318,Standardbot
319,Standardbot
320,Standardbot
321,Standardbot
322,Standardbot
323,Standardbot
324,Standardbot
325,Standardbot
326,Standardbot
327,Standardbot
328,Standardbot
329,Standardbot
330,RLbot
331,Standardbot
332,Standardbot
333,Standardbot
334,RLbot
335,RLbot
336,Standardbot
337,Standardbot
338,Standardbot
339,RLbot
340,Standardbot
341,Standardbot
342,Standardbot
343,Standardbot
344,Standardbot
345,RLbot
346,RLbot
347,Standardbot
348,Standardbot
349,Standardbot
350,Standardbot
351,Standardbot
352,Standardbot
353,Standardbot
354,Standardbot
355,Standardbot
356,Standardbot
357,Standardbot
358,Standardbot
359,Standardbot
360,RLbot
361,Standardbot
362,Standardbot
363,Standardbot
364,Standardbot
365,Standardbot
366,Standardbot
367,RLbot
368,Standardbot
369,Standardbot
370,Standardbot
371,RLbot
372,Standardbot
373,RLbot
374,Standardbot
375,Standardbot
376,RLbot
377,RLbot
378,Standardbot
379,RLbot
380,Standardbot
381,Standardbot
382,RLbot
383,RLbot
384,Standardbot
385,Standardbot
386,Standardbot
