Round,Winner
0,RLbot
1,Standardbot
2,RLbot
3,RLbot
4,RLbot
5,RLbot
6,Standardbot
7,Standardbot
8,RLbot
9,RLbot
10,RLbot
11,RLbot
12,Standardbot
13,RLbot
14,RLbot
15,RLbot
16,Standardbot
17,RLbot
18,RLbot
19,RLbot
20,RLbot
21,RLbot
22,RLbot
23,RLbot
24,RLbot
25,RLbot
26,RLbot
27,RLbot
28,Standardbot
29,RLbot
30,RLbot
31,RLbot
32,RLbot
33,Standardbot
34,RLbot
35,Standardbot
36,RLbot
37,RLbot
38,RLbot
39,RLbot
40,RLbot
41,RLbot
42,Standardbot
43,Standardbot
44,Standardbot
45,RLbot
46,Standardbot
47,Standardbot
48,Standardbot
49,RLbot
50,RLbot
51,Standardbot
52,RLbot
53,RLbot
54,Standardbot
55,RLbot
56,Standardbot
57,RLbot
58,RLbot
59,Standardbot
60,Standardbot
61,RLbot
62,RLbot
63,Standardbot
64,RLbot
65,RLbot
66,RLbot
67,Standardbot
68,Standardbot
69,RLbot
70,Standardbot
71,Standardbot
72,RLbot
73,Standardbot
74,Standardbot
75,Standardbot
76,RLbot
77,Standardbot
78,RLbot
79,RLbot
80,RLbot
81,Standardbot
82,RLbot
83,Standardbot
84,RLbot
85,Standardbot
86,Standardbot
87,RLbot
88,RLbot
89,Standardbot
90,RLbot
91,Standardbot
92,RLbot
93,Standardbot
94,RLbot
95,RLbot
96,Standardbot
97,Standardbot
98,RLbot
99,Standardbot
100,Standardbot
101,RLbot
102,RLbot
103,Standardbot
104,Standardbot
105,RLbot
106,RLbot
107,RLbot
108,RLbot
109,RLbot
110,Standardbot
111,RLbot
112,RLbot
113,Standardbot
114,RLbot
115,RLbot
116,RLbot
117,RLbot
118,RLbot
119,Standardbot
120,Standardbot
121,Standardbot
122,RLbot
123,RLbot
124,RLbot
125,Standardbot
126,Standardbot
127,RLbot
128,RLbot
129,Standardbot
130,Standardbot
131,RLbot
132,Standardbot
133,RLbot
134,Standardbot
135,Standardbot
136,RLbot
137,Standardbot
