Round,Winner
0,RLbot
1,RLbot
2,RLbot
3,RLbot
4,RLbot
5,RLbot
6,RLbot
7,RLbot
8,RLbot
9,Standardbot
10,RLbot
11,RLbot
12,Standardbot
13,Standardbot
14,Standardbot
15,RLbot
16,Standardbot
17,RLbot
18,Standardbot
19,RLbot
20,RLbot
21,Standardbot
22,RLbot
23,Standardbot
24,RLbot
25,Standardbot
26,RLbot
27,RLbot
28,Standardbot
29,RLbot
30,RLbot
31,Standardbot
32,RLbot
33,Standardbot
34,Standardbot
35,RLbot
36,Standardbot
37,RLbot
38,Standardbot
39,Standardbot
40,Standardbot
41,RLbot
42,RLbot
43,RLbot
44,Standardbot
45,RLbot
46,RLbot
47,RLbot
48,RLbot
49,Standardbot
50,Standardbot
51,RLbot
52,RLbot
53,Standardbot
54,Standardbot
55,RLbot
56,Standardbot
57,RLbot
58,RLbot
59,RLbot
60,Standardbot
61,RLbot
62,RLbot
63,Standardbot
64,RLbot
65,Standardbot
66,RLbot
67,RLbot
68,RLbot
69,RLbot
70,RLbot
71,RLbot
72,RLbot
73,RLbot
74,RLbot
75,RLbot
76,RLbot
77,Standardbot
78,RLbot
79,Standardbot
80,Standardbot
81,Standardbot
82,Standardbot
83,RLbot
84,RLbot
85,RLbot
86,RLbot
87,Standardbot
88,Standardbot
89,Standardbot
90,RLbot
91,Standardbot
92,RLbot
93,RLbot
94,Standardbot
95,RLbot
96,RLbot
97,RLbot
98,Standardbot
99,Standardbot
100,RLbot
101,Standardbot
102,RLbot
103,RLbot
104,RLbot
105,Standardbot
106,Standardbot
107,Standardbot
108,RLbot
109,Standardbot
110,RLbot
111,RLbot
112,Standardbot
113,RLbot
114,RLbot
115,Standardbot
116,RLbot
117,RLbot
118,RLbot
119,Standardbot
120,Standardbot
121,Standardbot
122,RLbot
123,Standardbot
124,RLbot
125,Standardbot
126,Standardbot
127,Standardbot
128,RLbot
129,Standardbot
130,Standardbot
131,Standardbot
132,Standardbot
133,RLbot
134,Standardbot
135,RLbot
136,RLbot
137,RLbot
138,Standardbot
139,Standardbot
140,Standardbot
141,RLbot
142,RLbot
143,Standardbot
144,RLbot
145,RLbot
146,RLbot
147,Standardbot
148,Standardbot
149,RLbot
150,Standardbot
151,Standardbot
152,Standardbot
153,RLbot
154,Standardbot
155,RLbot
156,RLbot
157,RLbot
158,Standardbot
159,RLbot
160,RLbot
161,Standardbot
162,Standardbot
163,Standardbot
164,RLbot
165,RLbot
166,Standardbot
167,RLbot
168,Standardbot
169,Standardbot
170,RLbot
171,Standardbot
172,Standardbot
173,RLbot
174,Standardbot
175,RLbot
176,RLbot
177,RLbot
178,Standardbot
179,Standardbot
180,RLbot
181,Standardbot
182,RLbot
183,RLbot
184,RLbot
185,RLbot
186,RLbot
187,RLbot
188,RLbot
189,RLbot
190,Standardbot
191,Standardbot
192,RLbot
193,RLbot
194,RLbot
195,RLbot
196,RLbot
197,RLbot
198,Standardbot
199,Standardbot
200,Standardbot
201,Standardbot
202,RLbot
203,Standardbot
204,RLbot
205,Standardbot
206,RLbot
207,Standardbot
208,Standardbot
209,Standardbot
210,RLbot
211,Standardbot
212,Standardbot
213,RLbot
214,Standardbot
215,Standardbot
216,RLbot
217,Standardbot
218,Standardbot
219,RLbot
220,RLbot
221,Standardbot
222,Standardbot
223,Standardbot
224,RLbot
225,Standardbot
226,RLbot
227,Standardbot
228,Standardbot
229,Standardbot
230,Standardbot
231,RLbot
232,Standardbot
233,Standardbot
234,Standardbot
235,Standardbot
236,Standardbot
237,Standardbot
238,RLbot
239,Standardbot
240,Standardbot
241,RLbot
242,Standardbot
243,Standardbot
244,Standardbot
245,Standardbot
246,Standardbot
247,Standardbot
248,RLbot
249,Standardbot
250,Standardbot
251,RLbot
252,RLbot
253,Standardbot
254,Standardbot
255,RLbot
256,Standardbot
257,RLbot
258,RLbot
259,Standardbot
260,RLbot
261,RLbot
262,Standardbot
263,Standardbot
264,Standardbot
265,Standardbot
266,Standardbot
267,Standardbot
268,Standardbot
269,Standardbot
270,RLbot
271,Standardbot
272,Standardbot
273,Standardbot
274,Standardbot
275,Standardbot
276,RLbot
277,RLbot
278,RLbot
279,Standardbot
280,RLbot
281,Standardbot
282,Standardbot
283,Standardbot
284,RLbot
285,Standardbot
286,Standardbot
287,Standardbot
288,RLbot
289,Standardbot
290,Standardbot
291,Standardbot
292,Standardbot
293,Standardbot
294,Standardbot
295,Standardbot
296,Standardbot
297,Standardbot
298,Standardbot
299,Standardbot
300,Standardbot
301,RLbot
302,Standardbot
303,Standardbot
304,Standardbot
305,Standardbot
306,RLbot
307,Standardbot
308,RLbot
309,Standardbot
310,Standardbot
311,RLbot
312,Standardbot
313,Standardbot
314,RLbot
315,Standardbot
316,RLbot
317,Standardbot
318,Standardbot
319,Standardbot
320,RLbot
321,Standardbot
322,Standardbot
323,Standardbot
324,Standardbot
325,RLbot
326,Standardbot
327,Standardbot
328,Standardbot
329,Standardbot
330,Standardbot
331,RLbot
332,Standardbot
333,RLbot
334,Standardbot
335,Standardbot
336,Standardbot
337,Standardbot
338,RLbot
339,Standardbot
340,Standardbot
341,Standardbot
342,RLbot
343,RLbot
344,Standardbot
345,Standardbot
346,RLbot
347,Standardbot
348,Standardbot
349,RLbot
350,Standardbot
351,Standardbot
352,Standardbot
353,RLbot
354,Standardbot
355,RLbot
356,Standardbot
357,Standardbot
358,Standardbot
359,RLbot
360,Standardbot
361,Standardbot
362,RLbot
363,Standardbot
364,RLbot
365,Standardbot
366,Standardbot
367,Standardbot
368,Standardbot
369,Standardbot
370,Standardbot
371,RLbot
372,Standardbot
373,Standardbot
374,Standardbot
375,Standardbot
376,Standardbot
377,Standardbot
378,RLbot
379,Standardbot
380,Standardbot
381,Standardbot
382,Standardbot
383,Standardbot
384,Standardbot
385,Standardbot
386,Standardbot
387,Standardbot
388,Standardbot
