Round,Winner
0,Standardbot
1,Standardbot
2,RLbot
3,RLbot
4,RLbot
5,RLbot
6,Standardbot
7,RLbot
8,RLbot
9,RLbot
10,RLbot
11,RLbot
12,RLbot
13,RLbot
14,RLbot
15,RLbot
16,RLbot
17,RLbot
18,RLbot
19,RLbot
20,RLbot
21,RLbot
22,RLbot
23,RLbot
24,RLbot
25,RLbot
26,RLbot
27,RLbot
28,RLbot
29,Standardbot
30,RLbot
31,Standardbot
32,RLbot
33,RLbot
34,RLbot
35,RLbot
36,Standardbot
37,RLbot
38,RLbot
39,RLbot
40,RLbot
41,RLbot
42,RLbot
43,RLbot
44,RLbot
45,Standardbot
46,RLbot
47,Standardbot
48,RLbot
49,RLbot
50,RLbot
51,RLbot
52,RLbot
53,RLbot
54,RLbot
55,RLbot
56,RLbot
57,RLbot
58,Standardbot
59,Standardbot
60,Standardbot
61,RLbot
62,RLbot
63,RLbot
64,RLbot
65,Standardbot
66,RLbot
67,Standardbot
68,RLbot
69,Standardbot
70,RLbot
71,Standardbot
72,RLbot
73,Standardbot
74,Standardbot
75,Standardbot
76,RLbot
77,RLbot
78,RLbot
79,Standardbot
80,RLbot
81,Standardbot
82,RLbot
83,Standardbot
84,RLbot
85,Standardbot
86,RLbot
87,RLbot
88,Standardbot
89,RLbot
90,Standardbot
91,RLbot
92,Standardbot
93,RLbot
94,RLbot
95,RLbot
96,RLbot
97,RLbot
98,Standardbot
99,RLbot
100,RLbot
101,Standardbot
102,RLbot
103,RLbot
104,RLbot
105,Standardbot
106,Standardbot
107,Standardbot
108,RLbot
109,Standardbot
110,Standardbot
111,RLbot
112,RLbot
113,Standardbot
114,RLbot
115,Standardbot
116,Standardbot
117,Standardbot
118,RLbot
119,RLbot
120,RLbot
121,Standardbot
122,RLbot
123,RLbot
124,Standardbot
125,Standardbot
126,Standardbot
127,RLbot
128,Standardbot
129,Standardbot
130,Standardbot
131,RLbot
132,Standardbot
133,RLbot
134,RLbot
135,Standardbot
136,RLbot
137,Standardbot
138,RLbot
139,Standardbot
140,Standardbot
141,RLbot
142,RLbot
143,Standardbot
144,RLbot
145,Standardbot
146,RLbot
147,Standardbot
148,RLbot
149,RLbot
150,Standardbot
151,RLbot
152,RLbot
153,Standardbot
154,RLbot
155,Standardbot
156,Standardbot
157,Standardbot
158,RLbot
159,RLbot
160,Standardbot
161,RLbot
162,RLbot
163,Standardbot
164,RLbot
165,RLbot
166,RLbot
167,RLbot
168,RLbot
169,RLbot
170,RLbot
171,Standardbot
172,Standardbot
173,RLbot
174,Standardbot
175,Standardbot
176,RLbot
177,Standardbot
178,Standardbot
179,RLbot
180,Standardbot
181,Standardbot
182,RLbot
183,Standardbot
184,RLbot
185,RLbot
186,Standardbot
187,RLbot
188,RLbot
189,RLbot
190,RLbot
191,Standardbot
192,Standardbot
193,Standardbot
194,Standardbot
195,RLbot
196,RLbot
197,RLbot
198,RLbot
199,Standardbot
200,Standardbot
201,Standardbot
202,Standardbot
203,Standardbot
204,Standardbot
205,RLbot
206,RLbot
207,RLbot
208,Standardbot
209,RLbot
210,RLbot
211,Standardbot
212,Standardbot
213,Standardbot
214,Standardbot
215,RLbot
216,RLbot
217,RLbot
218,RLbot
219,RLbot
220,Standardbot
221,Standardbot
222,RLbot
223,RLbot
224,RLbot
225,Standardbot
226,RLbot
227,Standardbot
228,RLbot
229,Standardbot
230,Standardbot
231,RLbot
232,RLbot
233,Standardbot
