Round,Winner
0,bot1
1,bot1
2,bot1
3,bot1
4,draw
5,bot2
6,bot1
7,bot2
8,bot1
9,bot1
10,bot1
11,bot1
12,bot2
13,bot2
14,bot2
15,bot2
16,bot1
17,bot1
18,bot1
19,bot2
20,bot2
21,bot2
22,bot2
23,bot2
24,bot2
25,bot2
26,bot1
27,bot1
28,bot2
29,draw
30,bot2
31,bot2
32,bot2
33,bot2
34,bot2
35,bot1
36,bot2
37,bot2
38,bot1
39,draw
40,bot1
41,bot1
42,bot2
43,bot1
44,draw
45,bot1
46,bot1
47,bot1
48,bot2
49,bot1
50,bot1
51,draw
52,bot1
53,bot2
54,bot1
55,bot1
56,bot2
57,bot1
58,bot2
59,bot2
60,bot2
61,bot2
62,bot1
63,draw
64,bot2
65,bot2
66,bot2
67,bot2
68,bot1
69,bot1
70,bot2
71,bot2
72,bot2
73,bot1
74,bot2
75,bot1
76,bot2
77,bot1
78,bot1
79,bot1
80,bot2
81,bot2
82,bot2
83,draw
84,bot2
85,bot2
86,bot1
87,bot1
88,bot1
89,bot2
90,bot1
91,bot2
92,draw
93,bot1
94,bot1
95,bot1
96,bot1
97,bot2
98,bot2
99,bot2
100,bot2
101,bot1
102,bot1
103,bot2
104,bot2
105,bot1
106,bot1
107,bot1
108,bot1
109,bot2
110,draw
111,bot1
112,bot2
113,bot2
114,bot1
115,bot1
116,bot2
117,bot1
118,draw
119,bot1
120,bot2
121,bot1
122,bot1
123,bot2
124,bot2
125,bot2
126,bot2
127,draw
128,draw
129,bot2
130,bot1
131,bot2
132,bot1
133,bot2
134,bot1
135,bot2
136,bot2
137,bot2
138,bot1
139,bot2
140,draw
141,bot1
142,bot2
143,bot1
144,bot1
145,bot1
146,bot2
147,bot2
148,draw
149,bot1
150,bot1
151,bot1
152,bot2
153,draw
154,bot1
155,bot2
156,bot1
157,bot1
158,bot2
159,bot2
160,bot2
161,bot2
162,bot1
163,bot1
164,bot1
165,bot2
166,bot2
167,bot1
168,bot1
169,bot1
170,bot1
171,bot1
172,draw
173,bot2
174,bot1
175,bot1
176,bot1
177,bot2
178,draw
179,bot2
180,bot1
181,bot2
182,bot1
183,bot2
184,bot2
185,bot1
186,bot1
187,bot1
188,bot1
189,bot1
190,draw
191,draw
192,bot2
193,bot1
194,bot1
195,bot1
196,bot2
197,bot2
198,bot2
199,bot1
200,bot1
201,bot2
202,bot2
203,bot2
204,bot2
205,bot1
206,bot1
207,bot2
208,bot1
209,bot1
210,bot2
211,bot2
212,bot1
213,bot2
214,bot1
215,bot1
216,bot2
217,draw
218,bot1
219,bot1
220,bot1
221,bot2
222,draw
223,bot1
224,bot1
225,bot1
226,bot2
227,bot1
228,bot2
229,bot1
230,bot2
231,bot2
232,bot1
233,draw
234,bot2
235,draw
236,bot1
237,bot2
238,bot2
239,bot1
240,bot2
241,bot2
242,bot2
243,bot2
244,bot1
245,bot1
246,bot2
247,bot2
248,bot1
249,bot2
250,draw
251,bot2
252,bot1
253,bot2
254,bot2
255,bot1
256,bot2
257,bot2
258,bot2
259,bot2
260,bot1
261,bot2
262,bot1
263,bot2
264,bot2
265,bot1
266,bot1
267,bot2
268,bot2
269,draw
270,bot1
271,bot2
272,bot2
273,bot2
274,bot1
275,bot2
276,bot1
277,bot1
278,draw
279,bot2
280,draw
281,bot2
282,bot1
283,bot2
284,bot1
285,bot2
286,bot1
287,bot1
288,bot2
289,bot1
290,bot1
291,bot2
292,bot1
293,bot1
294,bot1
295,draw
296,bot1
297,bot1
298,bot1
299,bot2
300,bot2
301,bot1
302,draw
303,bot1
304,bot2
305,bot2
306,bot2
307,bot1
308,bot1
309,bot1
310,bot2
311,bot2
312,draw
313,bot1
314,bot1
315,bot2
316,draw
317,bot1
318,bot2
319,bot2
320,bot2
321,draw
322,draw
323,draw
324,bot1
325,bot1
326,bot2
327,bot2
328,bot1
329,bot1
330,bot1
331,bot2
332,draw
333,bot1
334,bot2
335,draw
336,draw
337,bot1
338,bot1
339,bot2
340,bot1
341,bot1
342,bot1
343,bot1
344,draw
345,draw
346,bot2
347,draw
348,bot1
349,bot1
350,bot1
351,bot2
352,bot1
353,bot1
354,draw
355,bot1
356,bot2
357,bot2
358,bot1
359,draw
360,bot1
361,bot1
362,bot2
363,bot1
364,bot2
365,bot2
366,bot1
367,bot1
368,bot2
369,bot1
370,bot1
371,bot1
372,bot2
373,bot2
374,bot2
375,bot2
376,bot1
377,bot2
378,draw
379,bot2
380,bot1
381,draw
382,bot1
383,draw
384,bot1
385,bot1
386,bot1
387,bot2
388,bot1
389,bot1
390,bot1
391,bot1
392,draw
393,bot2
394,bot1
395,bot2
396,bot1
397,bot1
398,draw
399,bot1
400,draw
401,bot1
402,bot1
403,bot1
404,bot1
405,bot1
406,bot1
407,bot2
408,bot1
409,bot1
410,bot1
411,bot2
412,bot1
413,bot1
414,bot1
415,bot2
416,bot2
417,bot1
418,bot2
419,bot1
420,bot1
421,bot1
422,bot2
423,draw
424,bot2
425,bot2
426,bot2
427,bot1
428,bot1
429,bot2
430,bot1
431,bot2
432,draw
433,bot2
434,bot1
435,bot1
436,bot2
437,bot1
438,bot2
439,bot2
440,bot1
441,bot1
442,bot2
443,bot2
444,bot1
445,bot1
446,bot2
447,bot1
448,bot2
449,bot2
450,bot2
451,bot2
452,bot1
453,bot2
454,bot1
455,bot2
456,bot2
457,bot2
458,bot1
459,bot1
460,bot1
461,draw
462,bot2
463,bot2
464,draw
465,bot2
466,bot1
467,bot2
468,bot1
469,bot1
470,bot1
471,bot2
472,bot1
473,bot2
474,bot1
475,bot2
476,bot1
477,bot2
478,bot1
479,bot2
480,bot2
481,bot1
482,bot1
483,bot2
484,bot1
485,bot1
486,bot1
487,bot2
488,bot2
489,bot1
490,draw
491,bot2
492,bot2
493,bot2
494,bot1
495,bot1
496,bot2
497,bot2
498,bot2
499,bot2
500,bot1
501,bot2
502,bot2
503,bot2
504,bot2
505,bot1
506,bot2
507,bot2
508,bot1
509,bot2
510,bot1
511,bot2
512,bot1
513,bot1
514,bot1
515,bot1
516,bot1
517,bot1
518,bot2
519,bot1
520,bot2
521,bot2
522,bot2
523,bot2
524,bot1
525,bot2
526,bot1
527,bot2
528,bot1
529,bot2
530,bot1
531,bot2
532,draw
533,bot2
534,bot2
535,bot2
536,bot1
537,bot2
538,bot2
539,bot2
540,bot1
541,bot1
542,bot2
543,bot2
544,bot2
545,bot1
546,draw
547,bot1
548,bot1
549,bot2
550,bot2
551,bot1
552,bot2
553,bot1
554,bot2
555,bot1
556,bot1
557,bot1
558,bot2
559,bot2
560,bot2
561,bot1
562,draw
563,bot2
564,bot1
565,bot1
566,bot2
567,bot2
568,bot2
569,bot1
570,bot1
571,bot1
572,draw
573,draw
574,bot2
575,bot1
576,bot2
577,bot1
578,bot2
579,bot2
580,draw
581,bot2
582,bot2
583,bot1
584,bot2
585,bot1
586,bot2
587,bot1
588,bot2
589,draw
